score,class,pred
1.1015625,1,0
0.828125,1,0
1.4296875,1,0
0.87890625,1,0
1.4765625,1,0
1.1875,1,0
1.2578125,1,0
1.171875,1,0
1.2265625,1,0
0.75,1,0
0.98828125,1,0
1.578125,1,0
1.2421875,1,0
0.85546875,1,0
1.3671875,1,0
1.34375,1,0
1.21875,1,0
1.390625,1,0
1.546875,1,0
1.015625,1,0
0.6875,1,0
1.484375,1,0
1.2578125,1,0
1.28125,1,0
1.3984375,1,0
1.0546875,1,0
1.3515625,1,0
1.4296875,1,0
1.1015625,1,0
1.1953125,1,0
1.3046875,1,0
1.2265625,1,0
1.0546875,1,0
1.375,1,0
1.34375,1,0
1.453125,1,0
1.2734375,1,0
1.1953125,1,0
1.125,1,0
1.2578125,1,0
2.28125,1,0
1.2265625,1,0
1.21875,1,0
1.53125,1,0
1.375,1,0
1.1875,1,0
1.3125,1,0
1.0390625,1,0
1.25,1,0
0.98828125,1,0
0.96484375,1,0
1.1015625,1,0
1.3125,1,0
1.03125,1,0
